"","dateRep","day","month","year","cases","countriesAndTerritories","date","Cumulative_cases"
"81","17/01/2020",17,1,2020,0,"France",2020-01-17,0
"82","17/01/2020",17,1,2020,0,"Germany",2020-01-17,0
"83","17/01/2020",17,1,2020,0,"Spain",2020-01-17,0
"84","17/01/2020",17,1,2020,0,"United_Kingdom",2020-01-17,0
"85","17/01/2020",17,1,2020,0,"United_States_of_America",2020-01-17,0
"86","18/01/2020",18,1,2020,0,"France",2020-01-18,0
"87","18/01/2020",18,1,2020,0,"Germany",2020-01-18,0
"88","18/01/2020",18,1,2020,0,"Spain",2020-01-18,0
"89","18/01/2020",18,1,2020,0,"United_Kingdom",2020-01-18,0
"90","18/01/2020",18,1,2020,0,"United_States_of_America",2020-01-18,0
"91","19/01/2020",19,1,2020,0,"France",2020-01-19,0
"92","19/01/2020",19,1,2020,0,"Germany",2020-01-19,0
"93","19/01/2020",19,1,2020,0,"Spain",2020-01-19,0
"94","19/01/2020",19,1,2020,0,"United_Kingdom",2020-01-19,0
"95","19/01/2020",19,1,2020,0,"United_States_of_America",2020-01-19,0
"96","20/01/2020",20,1,2020,0,"France",2020-01-20,0
"97","20/01/2020",20,1,2020,0,"Germany",2020-01-20,0
"98","20/01/2020",20,1,2020,0,"Spain",2020-01-20,0
"99","20/01/2020",20,1,2020,0,"United_Kingdom",2020-01-20,0
"100","20/01/2020",20,1,2020,0,"United_States_of_America",2020-01-20,0
"101","21/01/2020",21,1,2020,0,"France",2020-01-21,0
"102","21/01/2020",21,1,2020,0,"Germany",2020-01-21,0
"103","21/01/2020",21,1,2020,0,"Spain",2020-01-21,0
"104","21/01/2020",21,1,2020,0,"United_Kingdom",2020-01-21,0
"105","21/01/2020",21,1,2020,1,"United_States_of_America",2020-01-21,1
"106","22/01/2020",22,1,2020,0,"France",2020-01-22,0
"107","22/01/2020",22,1,2020,0,"Germany",2020-01-22,0
"108","22/01/2020",22,1,2020,0,"Spain",2020-01-22,0
"109","22/01/2020",22,1,2020,0,"United_Kingdom",2020-01-22,0
"110","22/01/2020",22,1,2020,0,"United_States_of_America",2020-01-22,1
"111","23/01/2020",23,1,2020,0,"France",2020-01-23,0
"112","23/01/2020",23,1,2020,0,"Germany",2020-01-23,0
"113","23/01/2020",23,1,2020,0,"Spain",2020-01-23,0
"114","23/01/2020",23,1,2020,0,"United_Kingdom",2020-01-23,0
"115","23/01/2020",23,1,2020,0,"United_States_of_America",2020-01-23,1
"116","24/01/2020",24,1,2020,0,"France",2020-01-24,0
"117","24/01/2020",24,1,2020,0,"Germany",2020-01-24,0
"118","24/01/2020",24,1,2020,0,"Spain",2020-01-24,0
"119","24/01/2020",24,1,2020,0,"United_Kingdom",2020-01-24,0
"120","24/01/2020",24,1,2020,0,"United_States_of_America",2020-01-24,1
"121","25/01/2020",25,1,2020,3,"France",2020-01-25,3
"122","25/01/2020",25,1,2020,0,"Germany",2020-01-25,0
"123","25/01/2020",25,1,2020,0,"Spain",2020-01-25,0
"124","25/01/2020",25,1,2020,0,"United_Kingdom",2020-01-25,0
"125","25/01/2020",25,1,2020,1,"United_States_of_America",2020-01-25,2
"126","26/01/2020",26,1,2020,0,"France",2020-01-26,3
"127","26/01/2020",26,1,2020,0,"Germany",2020-01-26,0
"128","26/01/2020",26,1,2020,0,"Spain",2020-01-26,0
"129","26/01/2020",26,1,2020,0,"United_Kingdom",2020-01-26,0
"130","26/01/2020",26,1,2020,0,"United_States_of_America",2020-01-26,2
"131","27/01/2020",27,1,2020,0,"France",2020-01-27,3
"132","27/01/2020",27,1,2020,0,"Germany",2020-01-27,0
"133","27/01/2020",27,1,2020,0,"Spain",2020-01-27,0
"134","27/01/2020",27,1,2020,0,"United_Kingdom",2020-01-27,0
"135","27/01/2020",27,1,2020,3,"United_States_of_America",2020-01-27,5
"136","28/01/2020",28,1,2020,0,"France",2020-01-28,3
"137","28/01/2020",28,1,2020,1,"Germany",2020-01-28,1
"138","28/01/2020",28,1,2020,0,"Spain",2020-01-28,0
"139","28/01/2020",28,1,2020,0,"United_Kingdom",2020-01-28,0
"140","28/01/2020",28,1,2020,0,"United_States_of_America",2020-01-28,5
"141","29/01/2020",29,1,2020,1,"France",2020-01-29,4
"142","29/01/2020",29,1,2020,3,"Germany",2020-01-29,4
"143","29/01/2020",29,1,2020,0,"Spain",2020-01-29,0
"144","29/01/2020",29,1,2020,0,"United_Kingdom",2020-01-29,0
"145","29/01/2020",29,1,2020,0,"United_States_of_America",2020-01-29,5
"146","30/01/2020",30,1,2020,1,"France",2020-01-30,5
"147","30/01/2020",30,1,2020,0,"Germany",2020-01-30,4
"148","30/01/2020",30,1,2020,0,"Spain",2020-01-30,0
"149","30/01/2020",30,1,2020,0,"United_Kingdom",2020-01-30,0
"150","30/01/2020",30,1,2020,0,"United_States_of_America",2020-01-30,5
"151","31/01/2020",31,1,2020,1,"France",2020-01-31,6
"152","31/01/2020",31,1,2020,1,"Germany",2020-01-31,5
"153","31/01/2020",31,1,2020,0,"Spain",2020-01-31,0
"154","31/01/2020",31,1,2020,0,"United_Kingdom",2020-01-31,0
"155","31/01/2020",31,1,2020,1,"United_States_of_America",2020-01-31,6
